 "ETL_DATE","BR_CODE","BR_NAME","REGION_CODE","REGION_NAME"
20180329,FO-CN-KD.HTH04,Phòng Khách hàng Doanh nghi?p,,
20180329,BO-CN-CTG050000,Phòng V?n hành,,
20180329,BO-CN-HBT050000,Phòng V?n hành,,
20180329,BO-CN-HTH050000,Phòng V?n hành,,
20180329,BO-CN-NDH050000,Phòng V?n hành,,
20180329,BO-CN-Q1050000,Phòng V?n hành,,
20180329,BO-CN-THA050000,Phòng V?n hành,,
20180329,BO-CN-TT.BTAH02,Phòng V?n hành,,
20180329,BO-CN-TTKDCLG02,Phòng V?n hành,,
20180329,BO-CN-TTKDPMH02,Phòng V?n hành,,
20180329,BO-CN-VIH050000,Phòng V?n hành,,
20180329,BO-HO-BKS000000,Ban Ki?m soát,,
20180329,BO-HO-BKS010900,B? ph?n T?ng h?p và Báo cáo,,
20180329,BO-HO-DAN000002,D? án DCP,,
20180329,BO-HO-KCN040000,Phòng S?n ph?m Ebank,,
20180329,BO-HO-KCN150000,Phòng S?n ph?m D?ch v? Khách hàng Cao c?p,,
20180329,BO-HO-KCN220500,M?ng D? án,,
20180329,BO-HO-KNV010000,Ban Giám d?c,,
20180329,BO-HO-PC0100000,Phòng T? t?ng,,
20180329,BO-HO-PRM060000,Phòng PR và Truy?n thông N?i b?,,
20180329,BO-HO-QRR020300,Nhóm Ð?nh hu?ng chính sách kh?u v? r?i ro tín d?ng,,
20180329,BO-HO-QRR080200,B? ph?n Phân lu?ng và C?nh báo s?m,,
20180329,BO-HO-TCH020500,Phòng MIS CB&CM,,
20180329,BO-HO-TDG100000,Phòng Tái th?m d?nh Tín d?ng KHCN 1,,
20180329,BO-HO-TDG140500,Phòng Th?m d?nh Th?c t? Khách hàng,,
20180329,BO-HO-VHH150202,B? ph?n Tài tr? thuong m?i,,
